ROW,ROW_BUS,COLUMN,COLUMN_BUS,REAL,IMAGINARY
0,39,0,39,3.19488817891374,-78.89720447284344
1,9,0,39,-1.59744408945687,39.93610223642172
2,1,0,39,-1.59744408945687,39.93610223642172
0,39,1,9,-1.59744408945687,39.93610223642172
1,9,1,9,3.33594353767226,-66.58395874521248
4,8,1,9,-1.73849944821539,27.43805650879076
0,39,2,1,-1.59744408945687,39.93610223642172
2,1,2,1,3.65450097001827,-63.36747731958560
35,2,2,1,-2.05705688056140,24.15572508316387
3,7,3,7,25.82054960821101,-323.89964402383845
4,8,3,7,-18.76172607879925,215.75984990619136
12,6,3,7,-7.05882352941176,108.23529411764706
1,9,4,8,-1.73849944821539,27.43805650879076
3,7,4,8,-18.76172607879925,215.75984990619136
4,8,4,8,26.84540319198926,-331.72739372462684
5,5,4,8,-6.34517766497462,88.83248730964468
4,8,5,5,-6.34517766497462,88.83248730964468
5,5,5,5,40.62075560042896,-548.84384015926696
12,6,5,5,-29.41176470588236,382.35294117647061
38,4,5,5,-4.86381322957198,77.82101167315174
6,32,6,32,0.00000000000000,-50.00000000000000
7,10,6,32,-0.00000000000000,46.72897196261682
6,32,7,10,-0.00000000000000,46.72897196261682
7,10,7,10,42.89544235924933,-504.72504177559085
9,13,7,10,-21.44772117962466,230.56300268096516
11,11,7,10,-21.44772117962466,230.56300268096516
8,12,8,12,1.66873874203099,-45.36883454896752
9,13,8,12,-0.83937558724159,22.82052377813066
11,11,8,12,-0.83937558724159,22.82052377813066
7,10,9,13,-21.44772117962466,230.56300268096516
8,12,9,13,-0.83937558724159,22.82052377813066
9,13,9,13,31.04529388403491,-351.62776596044966
33,14,9,13,-8.75316086364521,98.22991635868509
10,31,10,31,0.00000000000000,-40.00000000000000
12,6,10,31,-0.00000000000000,37.38317757009346
7,10,11,11,-21.44772117962466,230.56300268096516
8,12,11,11,-0.83937558724159,22.82052377813066
11,11,11,11,32.62728730947873,-374.48349984537896
12,6,11,11,-10.33515428908903,121.06895024361434
3,7,12,6,-7.05882352941176,108.23529411764706
5,5,12,6,-29.41176470588236,382.35294117647061
10,31,12,6,-0.00000000000000,37.38317757009346
11,11,12,6,-10.33515428908903,121.06895024361434
12,6,12,6,46.80574252438314,-646.44708466866041
13,34,13,34,2.77085065114990,-55.41701302299806
14,20,13,34,-2.74613543225957,54.92270864519135
13,34,14,20,-2.74613543225957,54.92270864519135
14,20,14,20,6.38790578960683,-126.71061147118132
16,19,14,20,-3.45874068239965,68.18660202445035
15,33,15,33,3.46311779547816,-70.25181813684262
16,19,15,33,-3.23655868736276,65.65590480078748
14,20,16,19,-3.45874068239965,68.18660202445032
15,33,16,19,-3.23655868736276,65.65590480078750
16,19,16,19,10.46740324327355,-176.47474990802669
23,16,16,19,-4.17961913220658,50.93910817376766
17,35,17,35,0.00000000000000,-69.93006993006993
19,22,17,35,-0.00000000000000,68.22445846836091
18,36,18,36,0.67559350889757,-36.75228688402762
22,23,18,36,-0.67559350889757,36.75228688402762
17,35,19,22,-0.00000000000000,68.22445846836091
19,22,19,22,10.55343255670623,-241.29734056942090
20,21,19,22,-4.06834825061025,71.19609438567942
22,23,19,22,-6.48508430609598,103.76134889753568
19,22,20,21,-4.06834825061025,71.19609438567942
20,21,20,21,8.44256225903061,-144.75530577777303
23,16,20,21,-4.37421400842036,73.81486139209360
21,24,21,24,10.38483912087150,-197.29892779557881
22,23,21,24,-1.78885058218955,28.45898653483379
23,16,21,24,-8.59598853868195,169.05444126074499
18,36,22,23,-0.67559350889757,36.75228688402762
19,22,22,23,-6.48508430609598,103.76134889753568
21,24,22,23,-1.78885058218955,28.45898653483379
22,23,22,23,8.94952839718310,-168.69982231639710
16,19,23,16,-4.17961913220658,50.93910817376766
20,21,23,16,-4.37421400842036,73.81486139209360
21,24,23,16,-8.59598853868195,169.05444126074499
23,16,23,16,36.02583832184625,-510.42778860795488
24,15,23,16,-10.09308063249972,105.41661993944150
37,17,23,16,-8.78293601003764,111.66875784190715
23,16,24,15,-10.09308063249972,105.41661993944150
24,15,24,15,13.88950777273552,-150.91615824117309
33,14,24,15,-3.79642714023580,45.76803830173159
25,30,25,30,0.00000000000000,-55.24861878453038
35,2,25,30,-0.00000000000000,53.90109149710281
26,37,26,37,1.11399925733383,-43.07463795024137
27,25,26,37,-1.08682854374032,42.02403702462573
26,37,27,25,-1.08682854374032,42.02403702462572
27,25,27,25,61.02681073161219,-141.26983757028580
31,26,27,25,-3.03740757263675,30.65883268630224
35,2,27,25,-56.92908262849707,69.94144437215355
28,38,28,38,3.27868852459017,-63.93442622950821
30,29,28,38,-3.19872051179528,62.37504998000801
29,28,29,28,7.98599580295827,-86.07098108976724
30,29,29,28,-6.08775057616211,65.66073835717702
31,26,29,28,-1.89824522679616,20.92484273259022
28,38,30,29,-3.19872051179528,62.37504998000801
29,28,30,29,-6.08775057616211,65.66073835717702
30,29,30,29,10.65561682053085,-141.74346436123574
31,26,30,29,-1.44716330603188,15.86801870648989
27,25,31,26,-3.03740757263675,30.65883268630224
29,28,31,26,-1.89824522679616,20.92484273259022
30,29,31,26,-1.44716330603188,15.86801870648989
31,26,31,26,12.80336185185324,-133.58652446246100
