ROW,ROW_BUS,COLUMN,COLUMN_BUS,REAL,IMAGINARY
0,102,0,102,0.00000000000000,-49.85000000000000
1,4,0,102,-0.00000000000000,50.00000000000000
0,102,1,4,-0.00000000000000,50.00000000000000
1,4,1,4,4.86381322957198,-127.75391167315175
3,5,1,4,-4.86381322957198,77.82101167315174
2,31,2,31,0.00000000000000,-40.00000000000000
42,6,2,31,-0.00000000000000,37.38317757009346
1,4,3,5,-4.86381322957198,77.82101167315174
3,5,3,5,40.62075560042896,-548.84384015926696
41,8,3,5,-6.34517766497462,88.83248730964468
42,6,3,5,-29.41176470588236,382.35294117647061
4,32,4,32,0.00000000000000,-50.00000000000000
5,10,4,32,-0.00000000000000,46.72897196261682
4,32,5,10,-0.00000000000000,46.72897196261682
5,10,5,10,42.89544235924933,-504.72504177559085
38,13,5,10,-21.44772117962466,230.56300268096516
39,11,5,10,-21.44772117962466,230.56300268096516
6,12,6,12,1.66873874203099,-45.36883454896752
38,13,6,12,-0.83937558724159,22.82052377813066
39,11,6,12,-0.83937558724159,22.82052377813066
7,101,7,101,0.00000000000000,-19.90000000000000
8,3,7,101,-0.00000000000000,18.18181818181818
7,101,8,3,-0.00000000000000,18.18181818181818
8,3,8,3,5.65955594253374,-82.13824464464967
11,2,8,3,-5.65955594253374,65.73791902481497
9,30,9,30,0.00000000000000,-55.24861878453038
11,2,9,30,-0.00000000000000,53.90109149710281
10,37,10,37,1.11399925733383,-43.07463795024137
12,25,10,37,-1.08682854374032,42.02403702462573
8,3,11,2,-5.65955594253374,65.73791902481497
9,30,11,2,-0.00000000000000,53.90109149710281
11,2,11,2,64.64569545159222,-211.87056920901321
12,25,11,2,-56.92908262849707,69.94144437215355
13,1,11,2,-2.05705688056140,24.15572508316387
10,37,12,25,-1.08682854374032,42.02403702462572
11,2,12,25,-56.92908262849707,69.94144437215355
12,25,12,25,61.02681073161219,-141.26983757028580
37,26,12,25,-3.03740757263675,30.65883268630224
11,2,13,1,-2.05705688056140,24.15572508316387
13,1,13,1,3.65450097001827,-63.36747731958560
14,39,13,1,-1.59744408945687,39.93610223642172
13,1,14,39,-1.59744408945687,39.93610223642172
14,39,14,39,3.19488817891374,-78.89720447284344
15,9,14,39,-1.59744408945687,39.93610223642172
14,39,15,9,-1.59744408945687,39.93610223642172
15,9,15,9,3.33594353767226,-66.58395874521248
41,8,15,9,-1.73849944821539,27.43805650879076
16,104,16,104,0.00000000000000,-19.90000000000000
17,18,16,104,-0.00000000000000,20.00000000000000
16,104,17,18,-0.00000000000000,20.00000000000000
17,18,17,18,10.33515428908903,-141.00300024361434
